Text_Ori,Text_clear,Label,Label_2,Check,Final_Label
mẹ ơi con mệt quá,mẹ ơi con mệt quá,0,0,Khớp,0
"ôm con được khong...""",ôm con được không,1,1,Khớp,1
Chỉ có thể là dựa dẫm vào bản thân mình 😌,Chỉ có thể là dựa dẫm vào bản thân mình ,2,2,Khớp,2
có aii muốn làm bạn với mik k😊,có ai muốn làm bạn với mình không,2,2,Khớp,2
t chịu thuaa với đời ờiiii🥰,tôi chịu thua với đời ơi,1,1,Khớp,1
Em mệt mỏi với đống suy nghĩ của chính mình quá 🥺🥺🥺,Em mệt mỏi với đống suy nghĩ của chính mình quá,0,0,Khớp,0
tự bản thân mình thôi chứ có ai để dựa vào😞 mệt mỏi lắm nhiều lúc muốn buông xuôi,tự bản thân mình thôi chứ có ai để dựa vào mệt mỏi lắm nhiều lúc muốn buông xuôi,0,0,Khớp,0
Đôi lúc mệt mỏi muốn gục ngã,Đôi lúc mệt mỏi muốn gục ngã,0,0,Khớp,0
"nhưng chợt nhận ra mình chẳng có điểm tựa nào😌""",nhưng chợt nhận ra mình chẳng có điểm tựa nào,1,1,Khớp,1
em chẳng có ai bên cạnh cả 😔,em chẳng có ai bên cạnh cả ,1,1,Khớp,1
Những lúc mệt mõi muỗn gục xuống nhưng nghĩ laii phía sau mình còn có cha mẹ ❤️❤️,Những lúc mệt mỏi muốn gục xuống nhưng nghĩ lại phía sau mình còn có cha mẹ,2,2,Khớp,2
tựa vào bức tường nghỉ ngơi một xíu rồi lại vực dậy 😌,tựa vào bức tường nghỉ ngơi một xíu rồi lại vực dậy,2,2,Khớp,2
ko còn 1 điểm tựa nào luonn haha😁,không còn 1 điểm tựa nào luôn haha,1,1,Khớp,1
Trưởng thành thực sự mệt mỏi🥺,Trưởng thành thực sự mệt mỏi,0,0,Khớp,0
"Khi Không Một Ai Thấu Hiểu""",Khi Không Một Ai Thấu Hiểu,1,1,Khớp,1
mệt mỏi là mệt chính bản thân thôi,mệt mỏi là mệt chính bản thân thôi,0,0,Khớp,0
Mệt thì nghỉ không cố làm gì cả 🥰😳,Mệt thì nghỉ không cố làm gì cả,2,2,Khớp,2
mệt mỏi học tập nhiều lắm,mệt mỏi học tập nhiều lắm,0,0,Khớp,0
dựa vào bức tường và suy nghĩ coi 1 năm vừa qua đã mình đã trãi qua những gì...,dựa vào bức tường và suy nghĩ coi 1 năm vừa qua đã mình đã trải qua những gì,2,2,Khớp,2
Tựa vào chính mình và vượt qua thôi và mạnh mẽ lên mới giúp đc chính mình🥰🥰🥰,Tựa vào chính mình và vượt qua thôi và mạnh mẽ lên mới giúp được chính mình,2,2,Khớp,2
Đúng là mệt nỏi thật 😭,Đúng là mệt nỏi thật ,0,0,Khớp,0
Chỉ bt một mjk trùm chăn khóc😌,Chỉ biết một mình trùm chăn khóc,0,0,Khớp,0
